pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","75948","177680","148301","","88762","88762","1722874","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"B->D|evm|fund:bd","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","71617","173372","148301","","88762","88762","1631226","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","71641","173372","148301","","88762","88762","1631202","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75948","133204","112464","","52925","52925","1446800","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","71641","169041","148301","","88762","88762","1562502","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->G|evm|fund:eg","CTLCOnly","2","1|1","multi-level","68747","125833","112508","","52947","52947","1239070","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->D|evm|fund:fd","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261994","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCOnly","2","1|1","multi-level","68747","125833","112508","","52947","52947","1239082","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->D|evm|fund:gd","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261994","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
