pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->A|evm|fund:ba","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"B->C|evm|fund:bc","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","80267","177680","148301","","88762","88762","1745786","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"B->G|evm|fund:bg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","75948","173372","148301","","88762","88762","1654102","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75948","133204","112464","","52925","52925","1446812","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->G|evm|fund:dg","CTLCOnly","1","1","single-level","68735","68735","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","3","1|1|1","multi-level","68747","169970","148367","","88806","88806","1400101","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"E->G|evm|fund:eg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->C|evm|fund:fc","CTLCOnly","2","1|1","multi-level","77013","134123","112508","","52947","52947","1330730","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
