pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1515524","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->D|evm|fund:bd","CTLCMultipleEdges","1","2","single-level+multi-option","80243","80243","59539","","0","0","1331074","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"B->F|evm|fund:bf","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->B|evm|fund:cb","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1515512","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","2|2","multi-level+multi-option","80267","137535","112464","","52925","52925","1653503","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->F|evm|fund:cf","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","3","2|2|2","multi-level+multi-option","75948","173372","148301","","88762","88762","1884272","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->B|evm|fund:eb","CTLCOnly","2","1|1","multi-level","72862","129972","112508","","52947","52947","1284906","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","68735","68735","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
