pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","4","1|1|2|1","multi-level+multi-option","71641","213517","184138","","124599","124599","1861488","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"C->A|evm|fund:ca","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCOnly","2","1|1","multi-level","77013","134123","112508","","52947","52947","1330706","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"C->E|evm|fund:ce","CTLCOnly","2","1|1","multi-level","72874","129972","112508","","52947","52947","1284894","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCOnly","4","1|1|1|1","multi-level","72874","209969","184226","","124665","124665","1629844","true","pair compiles to CTLCOnly; expect 3 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCOnly","2","1|1","multi-level","72862","134123","112508","","52947","52947","1307806","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"E->G|evm|fund:eg","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261994","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->E|evm|fund:fe","CTLCMultipleEdges","2","2|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1607679","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261982","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->B|evm|fund:gb","CTLCOnly","1","1","single-level","72862","72862","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
