pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","3","1|3|2","multi-level+multi-option","71641","173360","148301","","88762","88762","1815512","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"B->D|evm|fund:bd","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","71617","173372","148301","","88762","88762","1631226","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"C->A|evm|fund:ca","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","133204","112464","","52925","52925","1446776","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->F|evm|fund:cf","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239438","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75948","133204","112464","","52925","52925","1446788","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->D|evm|fund:ed","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCMultipleEdges","3","2|1|1","multi-level+multi-option","71641","169029","148301","","88762","88762","1539590","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->A|evm|fund:fa","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193638","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"F->C|evm|fund:fc","CTLCOnly","2","1|1","multi-level","68735","125833","112508","","52947","52947","1239070","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
