pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","3","3|3|6","multi-level+multi-option","75948","177680","148301","","88762","88762","2781181","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"B->F|evm|fund:bf","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1515524","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->G|evm|fund:cg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|6","multi-level+multi-option","80267","141831","112464","","52925","52925","2343014","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->G|evm|fund:dg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCMultipleEdges","3","1|3|3","multi-level+multi-option","75936","177656","148301","","88762","88762","2182697","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->B|evm|fund:fb","CTLCMultipleEdges","2","3|3","multi-level+multi-option","80267","137523","112464","","52925","52925","1906525","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
