pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75948","137535","112464","","52925","52925","1469700","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->D|evm|fund:bd","CTLCMultipleEdges","2","2|1","multi-level+multi-option","71641","133204","112464","","52925","52925","1400964","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->F|evm|fund:bf","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","128885","112464","","52925","52925","1400976","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","2|1|1","multi-level+multi-option","71641","173372","148301","","88762","88762","1585390","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193638","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->E|evm|fund:de","CTLCOnly","2","1|1","multi-level","72874","129972","112508","","52947","52947","1284894","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"E->B|evm|fund:eb","CTLCMultipleEdges","2","3|4","multi-level+multi-option","75948","133192","112464","","52925","52925","1884180","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71617","128873","112464","","52925","52925","1400976","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->D|evm|fund:fd","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239462","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
