pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCOnly","5","1|1|1|1|1","multi-level","68747","245828","220085","","160524","160524","1722139","true","pair compiles to CTLCOnly; expect 4 disable step(s) before last claim/refund"
"B->D|evm|fund:bd","CTLCOnly","3","1|1|1","multi-level","68747","169982","148367","","88806","88806","1422953","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"B->F|evm|fund:bf","CTLCOnly","1","1","single-level","72862","72862","59561","","0","0","1146799","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->A|evm|fund:ca","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->B|evm|fund:cb","CTLCOnly","4","1|1|1|1","multi-level","72874","209969","184226","","124665","124665","1629796","true","pair compiles to CTLCOnly; expect 3 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCOnly","3","1|1|1","multi-level","68747","169982","148367","","88806","88806","1423013","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"C->F|evm|fund:cf","CTLCOnly","2","1|1","multi-level","72874","134111","112508","","52947","52947","1307794","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCOnly","4","1|1|1|1","multi-level","72874","209957","184226","","124665","124665","1629868","true","pair compiles to CTLCOnly; expect 3 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","75936","177680","148301","","88762","88762","1722862","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->G|evm|fund:eg","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","71641","173372","148301","","88762","88762","1631202","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","71641","173372","148301","","88762","88762","1631238","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100963","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->B|evm|fund:gb","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75948","133204","112464","","52925","52925","1446812","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
