pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","4","1|2|4|2","multi-level+multi-option","75948","213517","184138","","124599","124599","2436429","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCMultipleEdges","3","2|3|2","multi-level+multi-option","75948","173372","148301","","88762","88762","1999375","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"B->F|evm|fund:bf","CTLCOnly","3","1|1|1","multi-level","68747","165831","148367","","88806","88806","1377189","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","4","1|2|3|1","multi-level+multi-option","71641","213517","184138","","124599","124599","2114558","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"C->E|evm|fund:ce","CTLCMultipleEdges","3","2|3|1","multi-level+multi-option","75948","173372","148301","","88762","88762","1861384","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","3","2|3|1","multi-level+multi-option","75948","173372","148301","","88762","88762","1861360","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->B|evm|fund:eb","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","75948","173372","148301","","88762","88762","1654114","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->C|evm|fund:ec","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCMultipleEdges","3","2|2|2","multi-level+multi-option","71641","169041","148301","","88762","88762","1746824","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->C|evm|fund:fc","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
