pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCOnly","2","1|1","multi-level","77013","134123","112508","","52947","52947","1330718","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCMultipleEdges","2","2|2","multi-level+multi-option","71641","128873","112464","","52925","52925","1470219","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->F|evm|fund:bf","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->B|evm|fund:cb","CTLCMultipleEdges","2","3|2","multi-level+multi-option","75948","133204","112464","","52925","52925","1654046","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCOnly","3","1|1|1","multi-level","72874","169982","148367","","88806","88806","1445925","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCOnly","4","1|1|1|1","multi-level","68747","205841","184226","","124665","124665","1538184","true","pair compiles to CTLCOnly; expect 3 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->B|evm|fund:eb","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146799","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->C|evm|fund:ec","CTLCOnly","1","1","single-level","77013","77013","59561","","0","0","1169723","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","68735","68735","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
