pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCOnly","2","1|1","multi-level","77013","138251","112508","","52947","52947","1353618","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261982","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"B->F|evm|fund:bf","CTLCMultipleEdges","2","2|2","multi-level+multi-option","75948","133192","112464","","52925","52925","1561879","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCOnly","2","1|1","multi-level","72874","134123","112508","","52947","52947","1307818","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261994","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","72862","72862","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->B|evm|fund:fb","CTLCOnly","2","1|1","multi-level","72862","134123","112508","","52947","52947","1307818","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->D|evm|fund:fd","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->F|evm|fund:gf","CTLCMultipleEdges","2","2|1","multi-level+multi-option","80267","141843","112464","","52925","52925","1538448","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
