graph_id,pair,contract,scenario,deployGas,gasUsed,disableGasUsed,claimGasUsed,refundGasUsed,contractAddress,ok,error,caseDir
"random_v1_181","B->A|evm|fund:ba","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0x424c97Ed9b5c2Ee99D06E975DD9043AFC006D34C","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/B-_A_evm_fund_ba_CTLCOnly_best_claim"
"random_v1_181","B->A|evm|fund:ba","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0x4aFcb531A69365C1cF773A3205BeC97FD86EBA70","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/B-_A_evm_fund_ba_CTLCOnly_worst_claim"
"random_v1_181","B->A|evm|fund:ba","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x3923F8EcAFb298fAcA6E7095d4aEF755b5868779","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/B-_A_evm_fund_ba_CTLCOnly_refund"
"random_v1_181","B->C|evm|fund:bc","CTLCOnly","best_claim","0x11d92f","77013","","77013","","0x654F71673df94A3568e89aDf0852B7240f7ba4b7","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/B-_C_evm_fund_bc_CTLCOnly_best_claim"
"random_v1_181","B->C|evm|fund:bc","CTLCOnly","worst_claim","0x11d92f","77013","0","77013","","0x9b25A0e3dfbC6aF0EE40C833f0c4e891673a7B4e","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/B-_C_evm_fund_bc_CTLCOnly_worst_claim"
"random_v1_181","B->C|evm|fund:bc","CTLCOnly","refund","0x11d92f","59561","0","","59561","0x341b2D0B41E2794c61266fe59D0A13F2435F6295","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/B-_C_evm_fund_bc_CTLCOnly_refund"
"random_v1_181","C->D|evm|fund:cd","CTLCOnly","best_claim","0x117fbb","72874","","72874","","0x5cEBC500D76ed454e1D205F962a04FDD08C2CB45","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/C-_D_evm_fund_cd_CTLCOnly_best_claim"
"random_v1_181","C->D|evm|fund:cd","CTLCOnly","worst_claim","0x117fbb","72874","0","72874","","0x1FfdA9670C1F558ebffD768df114Cf4D9eB17EC9","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/C-_D_evm_fund_cd_CTLCOnly_worst_claim"
"random_v1_181","C->D|evm|fund:cd","CTLCOnly","refund","0x117fbb","59561","0","","59561","0x00e42CC79f8Cdfe7332127BCC2adC44Ef1739aa9","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/C-_D_evm_fund_cd_CTLCOnly_refund"
"random_v1_181","D->E|evm|fund:de","CTLCOnly","best_claim","0x11263b","68747","","68747","","0x8bF4A47813adB7C84bbc48C799Dc99079181888E","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/D-_E_evm_fund_de_CTLCOnly_best_claim"
"random_v1_181","D->E|evm|fund:de","CTLCOnly","worst_claim","0x11263b","68747","0","68747","","0xE5f9035C76CFe4912602cf372d5ed51789ab005a","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/D-_E_evm_fund_de_CTLCOnly_worst_claim"
"random_v1_181","D->E|evm|fund:de","CTLCOnly","refund","0x11263b","59561","0","","59561","0x655974aeA5e0E8CfC921aF1ad4dc194Cd353C8FA","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/D-_E_evm_fund_de_CTLCOnly_refund"
"random_v1_181","E->A|evm|fund:ea","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0x6cc99C9839ce9C3A70582988Ed1DcD203705918D","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/E-_A_evm_fund_ea_CTLCOnly_best_claim"
"random_v1_181","E->A|evm|fund:ea","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0x63670057B2A7Eae8b51579C79bEC36558300BF8D","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/E-_A_evm_fund_ea_CTLCOnly_worst_claim"
"random_v1_181","E->A|evm|fund:ea","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x96EB6Cc84eaBA9268d61716592bE6Afc170803CF","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_181/E-_A_evm_fund_ea_CTLCOnly_refund"
