pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","3","1|2|6","multi-level+multi-option","75948","177668","148301","","88762","88762","2481662","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"B->G|evm|fund:bg","CTLCMultipleEdges","1","3","single-level+multi-option","71641","71641","59539","","0","0","1308657","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"C->D|evm|fund:cd","CTLCMultipleEdges","4","1|2|6|6","multi-level+multi-option","71641","213517","184138","","124599","124599","3287589","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","3","2|6|6","multi-level+multi-option","71641","173360","148301","","88762","88762","2850944","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCMultipleEdges","4","3|3|1|1","multi-level+multi-option","75948","213493","184138","","124599","124599","2160910","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"F->B|evm|fund:fb","CTLCMultipleEdges","3","3|1|2","multi-level+multi-option","75936","173372","148301","","88762","88762","1861360","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCMultipleEdges","3","3|1|2","multi-level+multi-option","71641","177668","148301","","88762","88762","1861372","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCMultipleEdges","1","3","single-level+multi-option","67334","67334","59539","","0","0","1239945","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->B|evm|fund:gb","CTLCMultipleEdges","2","1|2","multi-level+multi-option","80267","137535","112464","","52925","52925","1538460","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"G->F|evm|fund:gf","CTLCMultipleEdges","2","1|2","multi-level+multi-option","84586","141843","112464","","52925","52925","1607184","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
