pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCOnly","3","1|1|1","multi-level","77013","174110","148367","","88806","88806","1514637","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCOnly","3","1|1|1","multi-level","72874","169982","148367","","88806","88806","1445889","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCOnly","3","1|1|1","multi-level","68747","165819","148367","","88806","88806","1377177","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","72862","72862","59561","","0","0","1146799","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->G|evm|fund:eg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->B|evm|fund:fb","CTLCOnly","2","1|1","multi-level","81152","138251","112508","","52947","52947","1376542","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCOnly","2","1|1","multi-level","68747","138251","112508","","52947","52947","1307806","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->B|evm|fund:gb","CTLCOnly","1","1","single-level","81152","81152","59561","","0","0","1192635","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->F|evm|fund:gf","CTLCOnly","1","1","single-level","85292","85292","59561","","0","0","1215547","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
