pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCOnly","3","1|1|1","multi-level","68747","174110","148367","","88806","88806","1468825","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"C->A|evm|fund:ca","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCOnly","2","1|1","multi-level","77013","134123","112508","","52947","52947","1330706","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","75948","173360","148301","","88762","88762","1654138","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","71641","169029","148301","","88762","88762","1562490","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->C|evm|fund:fc","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCOnly","2","1|1","multi-level","68747","125833","112508","","52947","52947","1239082","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->C|evm|fund:gc","CTLCOnly","2","1|1","multi-level","68747","134099","112508","","52947","52947","1284894","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"G->D|evm|fund:gd","CTLCOnly","2","1|1","multi-level","77013","134123","112508","","52947","52947","1330718","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
