pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->A|evm|fund:ba","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193638","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"B->C|evm|fund:bc","CTLCMultipleEdges","2","4|4","multi-level+multi-option","84598","141843","112464","","52925","52925","2342966","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","2|4|8","multi-level+multi-option","75948","173372","148301","","88762","88762","2942623","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->B|evm|fund:db","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239450","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->E|evm|fund:de","CTLCMultipleEdges","2","4|8","multi-level+multi-option","75936","133204","112464","","52925","52925","2436712","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","2","2|8","multi-level+multi-option","71641","128885","112464","","52925","52925","2023185","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->G|evm|fund:eg","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239462","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->B|evm|fund:fb","CTLCMultipleEdges","2","2|2","multi-level+multi-option","71629","141843","112464","","52925","52925","1607679","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239462","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->A|evm|fund:ga","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193626","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
