pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","6|2","multi-level+multi-option","80267","141843","112464","","52925","52925","2159662","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","6|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1976335","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261982","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->G|evm|fund:dg","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239438","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75936","133192","112464","","52925","52925","1469700","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->D|evm|fund:fd","CTLCMultipleEdges","1","3","single-level+multi-option","75948","75948","59539","","0","0","1377441","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->F|evm|fund:gf","CTLCOnly","1","1","single-level","77013","77013","59561","","0","0","1169723","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
