pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1515524","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->D|evm|fund:bd","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71617","133192","112464","","52925","52925","1446800","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->B|evm|fund:cb","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1515524","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","133204","112464","","52925","52925","1446800","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","1","2","single-level+multi-option","75936","75936","59539","","0","0","1285286","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"E->C|evm|fund:ec","CTLCOnly","2","1|1","multi-level","72874","129960","112508","","52947","52947","1284894","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","3","1|2|2","multi-level+multi-option","71629","173360","148301","","88762","88762","1769205","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->B|evm|fund:fb","CTLCOnly","2","1|1","multi-level","72874","129972","112508","","52947","52947","1284894","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->C|evm|fund:fc","CTLCOnly","2","1|1","multi-level","72874","129960","112508","","52947","52947","1284906","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
