pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","3","3|2|1","multi-level+multi-option","80267","177680","148301","","88762","88762","1975932","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","3|2|1","multi-level+multi-option","75948","173372","148301","","88762","88762","1838460","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|1","multi-level+multi-option","71641","133204","112464","","52925","52925","1400964","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->G|evm|fund:dg","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","128873","112464","","52925","52925","1400964","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193638","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"E->C|evm|fund:ec","CTLCOnly","1","1","single-level","77013","77013","59561","","0","0","1169723","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","2","1|1","multi-level","72862","134111","112508","","52947","52947","1307794","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"F->C|evm|fund:fc","CTLCMultipleEdges","2","3|2","multi-level+multi-option","80255","137523","112464","","52925","52925","1768594","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCMultipleEdges","3","1|2|2","multi-level+multi-option","71641","177680","148301","","88762","88762","1769217","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->B|evm|fund:gb","CTLCMultipleEdges","1","2","single-level+multi-option","84598","84598","59539","","0","0","1376934","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->E|evm|fund:ge","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239450","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->F|evm|fund:gf","CTLCMultipleEdges","1","2","single-level+multi-option","84598","84598","59539","","0","0","1376922","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
