pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","1|2","multi-level+multi-option","84586","141843","112464","","52925","52925","1607208","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCOnly","1","1","single-level","77001","77001","59561","","0","0","1169723","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"B->G|evm|fund:bg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->B|evm|fund:cb","CTLCOnly","2","1|1","multi-level","72874","134123","112508","","52947","52947","1307806","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","1","2","single-level+multi-option","84598","84598","59539","","0","0","1376934","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"C->E|evm|fund:ce","CTLCOnly","1","1","single-level","77013","77013","59561","","0","0","1169723","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|2","multi-level+multi-option","80267","137535","112464","","52925","52925","1653491","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->C|evm|fund:ec","CTLCOnly","1","1","single-level","77013","77013","59561","","0","0","1169723","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","72862","72862","59561","","0","0","1146799","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->D|evm|fund:fd","CTLCMultipleEdges","1","2","single-level+multi-option","88906","88906","59539","","0","0","1422770","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
