pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","3","6|9|2","multi-level+multi-option","80267","177680","148301","","88762","88762","3448380","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","1|7|2","multi-level+multi-option","75948","173372","148301","","88762","88762","2367580","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"C->E|evm|fund:ce","CTLCMultipleEdges","2","5|2","multi-level+multi-option","75948","133204","112464","","52925","52925","1838392","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCMultipleEdges","2","5|2","multi-level+multi-option","75948","133192","112464","","52925","52925","1838332","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->F|evm|fund:df","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","128885","112464","","52925","52925","1400952","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","128885","112464","","52925","52925","1400976","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->G|evm|fund:eg","CTLCMultipleEdges","1","4","single-level+multi-option","71641","71641","59539","","0","0","1377960","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239462","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->A|evm|fund:ga","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193626","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
