pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","4","1|1|3|2","multi-level+multi-option","75948","213517","184138","","124599","124599","2183303","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"B->D|evm|fund:bd","CTLCMultipleEdges","4","1|1|3|2","multi-level+multi-option","71641","209185","184138","","124599","124599","2022850","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","4","1|1|3|2","multi-level+multi-option","71641","209209","184138","","124599","124599","2022850","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75948","133204","112464","","52925","52925","1469700","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->F|evm|fund:df","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","128885","112464","","52925","52925","1400964","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->C|evm|fund:ec","CTLCMultipleEdges","3","1|1|2","multi-level+multi-option","75948","173372","148301","","88762","88762","1677050","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","4","1|2|1|1","multi-level+multi-option","71641","213505","184138","","124599","124599","1792764","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCMultipleEdges","3","2|1|1","multi-level+multi-option","71641","173372","148301","","88762","88762","1585426","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193626","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->B|evm|fund:gb","CTLCMultipleEdges","4","1|2|2|1","multi-level+multi-option","75948","213517","184138","","124599","124599","1999491","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
