pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","3|1","multi-level+multi-option","80267","141843","112464","","52925","52925","1653515","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->G|evm|fund:bg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","1|2","multi-level+multi-option","75948","137535","112464","","52925","52925","1515536","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->F|evm|fund:cf","CTLCMultipleEdges","1","2","single-level+multi-option","75948","75948","59539","","0","0","1285286","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|2","multi-level+multi-option","80255","141843","112464","","52925","52925","1699363","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->G|evm|fund:dg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->B|evm|fund:eb","CTLCMultipleEdges","2","1|3","multi-level+multi-option","75948","137535","112464","","52925","52925","1653539","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","72862","72862","59561","","0","0","1146799","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
