pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->A|evm|fund:ba","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"B->C|evm|fund:bc","CTLCMultipleEdges","2","2|2","multi-level+multi-option","75948","141831","112464","","52925","52925","1653515","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCOnly","1","1","single-level","77013","77013","59561","","0","0","1169699","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->B|evm|fund:cb","CTLCOnly","2","1|1","multi-level","68747","134123","112508","","52947","52947","1284906","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCOnly","2","1|1","multi-level","68747","134123","112508","","52947","52947","1284882","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCOnly","1","1","single-level","77001","77001","59561","","0","0","1169711","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","72850","72850","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
